Average Domestic Airline Itinerary Fares By Origin City for Q4 2024 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
59,CHS,Charleston AFB/International,Charleston,SC,379.53,379.53," 144,183 ",,,,,,,,,,,
60,OMA,Eppley Airfield,Omaha,NE,439.94,439.94," 143,403 ",,,,,,,,,,,
61,BOI,Boise Air Terminal,Boise,ID,410.25,410.25," 135,151 ",,,,,,,,,,,
62,ORF,Norfolk International,Norfolk,VA,437.06,437.06," 135,070 ",,,,,,,,,,,
63,MEM,Memphis International,Memphis,TN,436.40,436.40," 133,439 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,429.25,429.25," 133,295 ",,,,,,,,,,,
65,PVD,Rhode Island Tf Green International,Providence,RI,342.28,342.28," 123,931 ",,,,,,,,,,,
66,GRR,Gerald R. Ford International,Grand Rapids,MI,417.79,417.79," 122,792 ",,,,,,,,,,,
67,SDF,Louisville Muhammad Ali International,Louisville,KY,419.21,419.21," 122,639 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,454.70,454.70," 121,164 ",,,,,,,,,,,
69,ELP,El Paso International,El Paso,TX,404.46,404.46," 120,309 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,595.07,595.07," 113,291 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,426.21,426.21," 112,587 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,290.86,290.86," 112,368 ",,,,,,,,,,,
73,RNO,Reno/Tahoe International,Reno,NV,393.74,393.74," 109,805 ",,,,,,,,,,,
74,LGB,Long Beach Airport,Long Beach,CA,353.41,353.41," 102,848 ",,,,,,,,,,,
75,TUS,Tucson International,Tucson,AZ,455.92,455.92," 102,184 ",,,,,,,,,,,
76,SYR,Syracuse Hancock International,Syracuse,NY,400.65,400.65," 94,536 ",,,,,,,,,,,
77,DSM,Des Moines International,Des Moines,IA,404.10,404.10," 91,115 ",,,,,,,,,,,
78,ALB,Albany International,Albany,NY,431.41,431.41," 88,845 ",,,,,,,,,,,
79,TUL,Tulsa International,Tulsa,OK,451.18,451.18," 88,037 ",,,,,,,,,,,
80,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,504.77,504.77," 87,795 ",,,,,,,,,,,
81,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,346.09,346.09," 86,365 ",,,,,,,,,,,
82,HPN,Westchester County,White Plains,NY,376.45,376.45," 85,416 ",,,,,,,,,,,
83,SAV,Savannah/Hilton Head International,Savannah,GA,414.92,414.92," 85,268 ",,,,,,,,,,,
84,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,387.87,387.87," 81,114 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,420.75,420.75," 80,983 ",,,,,,,,,,,
86,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,280.63,280.63," 75,880 ",,,,,,,,,,,
87,GSP,Greenville-Spartanburg International,Greer,SC,478.67,478.67," 74,606 ",,,,,,,,,,,
88,PNS,Pensacola International,Pensacola,FL,434.03,434.03," 72,946 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,443.99,443.99," 67,750 ",,,,,,,,,,,
90,MYR,Myrtle Beach International,Myrtle Beach,SC,309.42,309.42," 67,308 ",,,,,,,,,,,
91,MSN,Dane County Regional-Truax Field,Madison,WI,515.51,515.51," 67,201 ",,,,,,,,,,,
92,LIH,Lihue Airport,Lihue,HI,264.27,264.27," 66,233 ",,,,,,,,,,,
93,FAT,Fresno Yosemite International,Fresno,CA,440.00,440.00," 65,689 ",,,,,,,,,,,
94,PWM,Portland International Jetport,Portland,ME,419.09,419.09," 65,280 ",,,,,,,,,,,
95,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,460.35,460.35," 63,818 ",,,,,,,,,,,
96,XNA,Northwest Arkansas National,Fayetteville,AR,471.32,471.32," 60,392 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,452.94,452.94," 56,214 ",,,,,,,,,,,
98,AVL,Asheville Regional,Asheville,NC,334.48,334.48," 52,773 ",,,,,,,,,,,
99,PSP,Palm Springs International,Palm Springs,CA,425.80,425.80," 52,513 ",,,,,,,,,,,
100,GSO,Piedmont Triad International,Greensboro/High Point,NC,484.59,484.59," 52,146 ",,,,,,,,,,,
101,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,446.72,446.72," 50,450 ",,,,,,,,,,,
102,PIE,St Pete Clearwater International,St. Petersburg,FL,132.18,132.18," 48,668 ",,,,,,,,,,,
103,SFB,Orlando Sanford International,Sanford,FL,129.99,129.99," 48,131 ",,,,,,,,,,,
104,EUG,Mahlon Sweet Field,Eugene,OR,435.40,435.40," 48,046 ",,,,,,,,,,,
105,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,421.02,421.02," 46,040 ",,,,,,,,,,,
106,HVN,Tweed New Haven,New Haven,CT,174.12,174.12," 45,855 ",,,,,,,,,,,
107,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,552.73,552.73," 44,464 ",,,,,,,,,,,
108,MDT,Harrisburg International,Harrisburg,PA,469.37,469.37," 42,667 ",,,,,,,,,,,
109,ISP,Long Island MacArthur,Islip,NY,285.80,285.80," 42,627 ",,,,,,,,,,,
110,LEX,Blue Grass,Lexington,KY,475.63,475.63," 42,439 ",,,,,,,,,,,
111,MAF,Midland International Air and Space Port,Midland/Odessa,TX,436.71,436.71," 41,759 ",,,,,,,,,,,
112,FSD,Joe Foss Field,Sioux Falls,SD,420.02,420.02," 40,697 ",,,,,,,,,,,
113,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,153.92,153.92," 40,330 ",,,,,,,,,,,
114,MFE,McAllen International,Mission/McAllen/Edinburg,TX,408.82,408.82," 39,274 ",,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,413.12,413.12," 38,296 ",,,,,,,,,,,
116,ILM,Wilmington International,Wilmington,NC,500.70,500.70," 38,008 ",,,,,,,,,,,
117,ITO,Hilo International,Hilo,HI,225.58,225.58," 37,948 ",,,,,,,,,,,
118,SGF,Springfield-Branson National,Springfield,MO,465.79,465.79," 37,755 ",,,,,,,,,,,
119,PGD,Punta Gorda Airport,Punta Gorda,FL,142.09,142.09," 37,063 ",,,,,,,,,,,
120,MHT,Manchester Boston Regional,Manchester,NH,419.16,419.16," 37,031 ",,,,,,,,,,,
121,BTV,Burlington International,Burlington,VT,484.33,484.33," 36,575 ",,,,,,,,,,,
122,SBA,Santa Barbara Municipal,Santa Barbara,CA,476.11,476.11," 36,080 ",,,,,,,,,,,
123,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,510.84,510.84," 35,868 ",,,,,,,,,,,
124,ATW,Appleton International,Appleton,WI,398.00,398.00," 35,369 ",,,,,,,,,,,
125,CAE,Columbia Metropolitan,Columbia,SC,514.30,514.30," 35,315 ",,,,,,,,,,,
126,DAY,James M Cox/Dayton International,Dayton,OH,476.92,476.92," 35,189 ",,,,,,,,,,,
127,ECP,Northwest Florida Beaches International,Panama City,FL,482.15,482.15," 33,188 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,459.36,459.36," 33,127 ",,,,,,,,,,,
129,FAR,Hector International,Fargo,ND,453.60,453.60," 32,694 ",,,,,,,,,,,
130,CHA,Lovell Field,Chattanooga,TN,523.06,523.06," 31,471 ",,,,,,,,,,,
131,LBB,Lubbock Preston Smith International,Lubbock,TX,466.30,466.30," 30,395 ",,,,,,,,,,,
132,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,290.14,290.14," 29,795 ",,,,,,,,,,,
133,HRL,Valley International,Harlingen/San Benito,TX,335.35,335.35," 29,191 ",,,,,,,,,,,
134,ACY,Atlantic City International,Atlantic City,NJ,167.88,167.88," 28,530 ",,,,,,,,,,,
135,MFR,Rogue Valley International - Medford,Medford,OR,450.14,450.14," 28,387 ",,,,,,,,,,,
136,SBN,South Bend International,South Bend,IN,424.20,424.20," 27,926 ",,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,482.89,482.89," 27,906 ",,,,,,,,,,,
138,FAI,Fairbanks International,Fairbanks,AK,589.52,589.52," 27,618 ",,,,,,,,,,,
139,PVU,Provo Municipal,Provo,UT,180.63,180.63," 27,400 ",,,,,,,,,,,
140,FWA,Fort Wayne International,Fort Wayne,IN,420.96,420.96," 26,685 ",,,,,,,,,,,
141,TLH,Tallahassee International,Tallahassee,FL,572.06,572.06," 25,686 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,489.74,489.74," 25,558 ",,,,,,,,,,,
143,CAK,Akron-Canton Regional,Akron,OH,293.47,293.47," 25,340 ",,,,,,,,,,,
144,BIL,Billings Logan International,Billings,MT,482.53,482.53," 25,278 ",,,,,,,,,,,
145,STT,Cyril E King,Charlotte Amalie,VI,364.88,364.88," 23,386 ",,,,,,,,,,,
146,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,519.74,519.74," 22,788 ",,,,,,,,,,,
147,PIA,General Downing - Peoria International,Peoria,IL,362.78,362.78," 22,607 ",,,,,,,,,,,
148,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,298.00,298.00," 21,711 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,451.32,451.32," 21,618 ",,,,,,,,,,,
150,FCA,Glacier Park International,Kalispell,MT,505.35,505.35," 21,498 ",,,,,,,,,,,
151,ROA,Roanoke Blacksburg Regional,Roanoke,VA,516.85,516.85," 21,008 ",,,,,,,,,,,
152,BQN,Rafael Hernandez,Aguadilla,PR,258.57,258.57," 20,736 ",,,,,,,,,,,
153,CHO,Charlottesville Albemarle,Charlottesville,VA,504.19,504.19," 20,466 ",,,,,,,,,,,
154,MLI,Quad Cities International,Moline,IL,428.99,428.99," 20,094 ",,,,,,,,,,,
155,RAP,Rapid City Regional,Rapid City,SD,447.86,447.86," 20,028 ",,,,,,,,,,,
156,SBP,San Luis County Regional,San Luis Obispo,CA,535.45,535.45," 19,797 ",,,,,,,,,,,
157,FNT,Bishop International,Flint,MI,244.41,244.41," 19,789 ",,,,,,,,,,,
158,CRP,Corpus Christi International,Corpus Christi,TX,515.45,515.45," 19,530 ",,,,,,,,,,,
159,PAE,Snohomish County,Everett,WA,407.10,407.10," 19,523 ",,,,,,,,,,,
160,SHV,Shreveport Regional,Shreveport,LA,512.35,512.35," 19,446 ",,,,,,,,,,,
161,TVC,Cherry Capital,Traverse City,MI,492.08,492.08," 19,320 ",,,,,,,,,,,
162,BGR,Bangor International,Bangor,ME,403.46,403.46," 19,034 ",,,,,,,,,,,
163,GRB,Green Bay Austin Straubel International,Green Bay,WI,580.39,580.39," 18,187 ",,,,,,,,,,,
164,BIS,Bismarck Municipal,Bismarck/Mandan,ND,455.90,455.90," 17,904 ",,,,,,,,,,,
165,BLI,Bellingham International,Bellingham,WA,280.46,280.46," 17,664 ",,,,,,,,,,,
166,AGS,Augusta Regional at Bush Field,Augusta,GA,563.55,563.55," 17,458 ",,,,,,,,,,,
167,IDA,Idaho Falls Regional,Idaho Falls,ID,472.59,472.59," 17,151 ",,,,,,,,,,,
